中文	翻译文本
累计充值<color=#7FB05E>120000黄金</color>即可享受该级特权\n【特权内容】\n·器械所器械升级速度提高<color=#7FB05E>10%</color>\n·技法所计策升级速度提高<color=#7FB05E>15%</color>\n·计略府计策研发速度提高<color=#7FB05E>15%</color>\n·兵营招募速度提高<color=#7FB05E>25%</color>\n·建筑升级速度提高<color=#7FB05E>30%</color>\n·每日可给联盟成员赠送物品<color=#7FB05E>4次</color>\n·每日可重置副本（普通、精英）关卡<color=#7FB05E>3次</color>\n·建筑队列<color=#7FB05E>4个</color>\n·建筑免费加速<color=#7FB05E>11分钟</color>\n·每日可免费刷新馆舍<color=#7FB05E>45次</color>\n·雷达范围<color=#7FB05E>25里</color>\n·体力上限<color=#7FB05E>210</color>\n·行军令上限<color=#7FB05E>32</color>\n·每日可在祭坛祭祀<color=#7FB05E>13次</color>\n·世界行军加速可进行<color=#7FB05E>5次</color>\n·可收藏世界坐标点<color=#7FB05E>70个</color>\n·每日可购买体力类道具<color=#7FB05E>9次</color>\n·每日可购买行军令类道具<color=#7FB05E>9次</color>\n·每日可购买资源类道具<color=#7FB05E>14次</color>\n·每日可购买铜币类道具<color=#7FB05E>14次</color>	累計儲值<color=#7FB05E>120000黃金</color>即可享受該級特權\n【特權內容】\n·器械所器械升級速度提高<color=#7FB05E>10%</color>\n·技法所計策升級速度提高<color=#7FB05E>15%</color>\n·計略府計策研發速度提高<color=#7FB05E>15%</color>\n·兵營招募速度提高<color=#7FB05E>25%</color>\n·建築升級速度提高<color=#7FB05E>30%</color>\n·每日可給聯盟成員贈送物品<color=#7FB05E>4次</color>\n·每日可重置副本（普通、精英）關卡<color=#7FB05E>3次</color>\n·建築隊列<color=#7FB05E>4個</color>\n·建築免費加速<color=#7FB05E>11分鐘</color>\n·每日可免費刷新館舍<color=#7FB05E>45次</color>\n·雷達範圍<color=#7FB05E>25里</color>\n·體力上限<color=#7FB05E>210</color>\n·行軍令上限<color=#7FB05E>32</color>\n·每日可在祭壇祭祀<color=#7FB05E>13次</color>\n·世界行軍加速可進行<color=#7FB05E>5次</color>\n·可收藏世界座標點<color=#7FB05E>70個</color>\n·每日可購買體力類道具<color=#7FB05E>9次</color>\n·每日可購買行軍令類道具<color=#7FB05E>9次</color>\n·每日可購買資源類道具<color=#7FB05E>14次</color>\n·每日可購買銅幣類道具<color=#7FB05E>14次</color>
累计充值<color=#7FB05E>200000黄金</color>即可享受该级特权\n【特权内容】\n·器械所器械升级速度提高<color=#7FB05E>20%</color>\n·技法所计策升级速度提高<color=#7FB05E>20%</color>\n·计略府计策研发速度提高<color=#7FB05E>20%</color>\n·兵营招募速度提高<color=#7FB05E>30%</color>\n·建筑升级速度提高<color=#7FB05E>35%</color>\n·每日可给联盟成员赠送物品<color=#7FB05E>5次</color>\n·每日可重置副本（普通、精英）关卡<color=#7FB05E>3次</color>\n·建筑队列<color=#7FB05E>5个</color>\n·建筑免费加速<color=#7FB05E>12分钟</color>\n·每日可免费刷新馆舍<color=#7FB05E>50次</color>\n·雷达范围<color=#7FB05E>30里</color>\n·体力上限<color=#7FB05E>220</color>\n·行军令上限<color=#7FB05E>34</color>\n·每日可在祭坛祭祀<color=#7FB05E>14次</color>\n·世界行军加速可进行<color=#7FB05E>5次</color>\n·可收藏世界坐标点<color=#7FB05E>75个</color>\n·每日可购买体力类道具<color=#7FB05E>10次</color>\n·每日可购买行军令类道具<color=#7FB05E>10次</color>\n·每日可购买资源类道具<color=#7FB05E>15次</color>\n·每日可购买铜币类道具<color=#7FB05E>15次</color>	累計儲值<color=#7FB05E>200000黃金</color>即可享受該級特權\n【特權內容】\n·器械所器械升級速度提高<color=#7FB05E>20%</color>\n·技法所計策升級速度提高<color=#7FB05E>20%</color>\n·計略府計策研發速度提高<color=#7FB05E>20%</color>\n·兵營招募速度提高<color=#7FB05E>30%</color>\n·建築升級速度提高<color=#7FB05E>35%</color>\n·每日可給聯盟成員贈送物品<color=#7FB05E>5次</color>\n·每日可重置副本（普通、精英）關卡<color=#7FB05E>3次</color>\n·建築隊列<color=#7FB05E>5個</color>\n·建築免費加速<color=#7FB05E>12分鐘</color>\n·每日可免費刷新館舍<color=#7FB05E>50次</color>\n·雷達範圍<color=#7FB05E>30里</color>\n·體力上限<color=#7FB05E>220</color>\n·行軍令上限<color=#7FB05E>34</color>\n·每日可在祭壇祭祀<color=#7FB05E>14次</color>\n·世界行軍加速可進行<color=#7FB05E>5次</color>\n·可收藏世界座標點<color=#7FB05E>75個</color>\n·每日可購買體力類道具<color=#7FB05E>10次</color>\n·每日可購買行軍令類道具<color=#7FB05E>10次</color>\n·每日可購買資源類道具<color=#7FB05E>15次</color>\n·每日可購買銅幣類道具<color=#7FB05E>15次</color>
累计充值<color=#7FB05E>360000黄金</color>即可享受该级特权\n【特权内容】\n·黑市收购度提高<color=#7FB05E>10%</color>\n·器械所器械升级速度提高<color=#7FB05E>30%</color>\n·技法所计策升级速度提高<color=#7FB05E>30%</color>\n·计略府计策研发速度提高<color=#7FB05E>30%</color>\n·兵营招募速度提高<color=#7FB05E>35%</color>\n·建筑升级速度提高<color=#7FB05E>40%</color>\n·每日可给联盟成员赠送物品<color=#7FB05E>6次</color>\n·每日可重置副本（普通、精英）关卡<color=#7FB05E>4次</color>\n·建筑队列<color=#7FB05E>5个</color>\n·建筑免费加速<color=#7FB05E>13分钟</color>\n·每日可免费刷新馆舍<color=#7FB05E>55次</color>\n·雷达范围<color=#7FB05E>30里</color>\n·体力上限<color=#7FB05E>230</color>\n·行军令上限<color=#7FB05E>36</color>\n·每日可在祭坛祭祀<color=#7FB05E>15次</color>\n·世界行军加速可进行<color=#7FB05E>6次</color>\n·可收藏世界坐标点<color=#7FB05E>80个</color>\n·每日可购买体力类道具<color=#7FB05E>11次</color>\n·每日可购买行军令类道具<color=#7FB05E>11次</color>\n·每日可购买资源类道具<color=#7FB05E>16次</color>\n·每日可购买铜币类道具<color=#7FB05E>16次</color>	累計儲值<color=#7FB05E>360000黃金</color>即可享受該級特權\n【特權內容】\n·黑市收購度提高<color=#7FB05E>10%</color>\n·器械所器械升級速度提高<color=#7FB05E>30%</color>\n·技法所計策升級速度提高<color=#7FB05E>30%</color>\n·計略府計策研發速度提高<color=#7FB05E>30%</color>\n·兵營招募速度提高<color=#7FB05E>35%</color>\n·建築升級速度提高<color=#7FB05E>40%</color>\n·每日可給聯盟成員贈送物品<color=#7FB05E>6次</color>\n·每日可重置副本（普通、精英）關卡<color=#7FB05E>4次</color>\n·建築隊列<color=#7FB05E>5個</color>\n·建築免費加速<color=#7FB05E>13分鐘</color>\n·每日可免費刷新館舍<color=#7FB05E>55次</color>\n·雷達範圍<color=#7FB05E>30里</color>\n·體力上限<color=#7FB05E>230</color>\n·行軍令上限<color=#7FB05E>36</color>\n·每日可在祭壇祭祀<color=#7FB05E>15次</color>\n·世界行軍加速可進行<color=#7FB05E>6次</color>\n·可收藏世界座標點<color=#7FB05E>80個</color>\n·每日可購買體力類道具<color=#7FB05E>11次</color>\n·每日可購買行軍令類道具<color=#7FB05E>11次</color>\n·每日可購買資源類道具<color=#7FB05E>16次</color>\n·每日可購買銅幣類道具<color=#7FB05E>16次</color>
累计充值<color=#7FB05E>600000黄金</color>即可享受该级特权\n【特权内容】\n·黑市收购度提高<color=#7FB05E>20%</color>\n·器械所器械升级速度提高<color=#7FB05E>40%</color>\n·技法所计策升级速度提高<color=#7FB05E>40%</color>\n·计略府计策研发速度提高<color=#7FB05E>40%</color>\n·兵营招募速度提高<color=#7FB05E>40%</color>\n·建筑升级速度提高<color=#7FB05E>45%</color>\n·每日可给联盟成员赠送物品<color=#7FB05E>7次</color>\n·每日可重置副本（普通、精英）关卡<color=#7FB05E>4次</color>\n·建筑队列<color=#7FB05E>5个</color>\n·建筑免费加速<color=#7FB05E>14分钟</color>\n·每日可免费刷新馆舍<color=#7FB05E>60次</color>\n·雷达范围<color=#7FB05E>30里</color>\n·体力上限<color=#7FB05E>240</color>\n·行军令上限<color=#7FB05E>38</color>\n·每日可在祭坛祭祀<color=#7FB05E>16次</color>\n·世界行军加速可进行<color=#7FB05E>6次</color>\n·可收藏世界坐标点<color=#7FB05E>85个</color>\n·每日可购买体力类道具<color=#7FB05E>12次</color>\n·每日可购买行军令类道具<color=#7FB05E>12次</color>\n·每日可购买资源类道具<color=#7FB05E>17次</color>\n·每日可购买铜币类道具<color=#7FB05E>17次</color>	累計儲值<color=#7FB05E>600000黃金</color>即可享受該級特權\n【特權內容】\n·黑市收購度提高<color=#7FB05E>20%</color>\n·器械所器械升級速度提高<color=#7FB05E>40%</color>\n·技法所計策升級速度提高<color=#7FB05E>40%</color>\n·計略府計策研發速度提高<color=#7FB05E>40%</color>\n·兵營招募速度提高<color=#7FB05E>40%</color>\n·建築升級速度提高<color=#7FB05E>45%</color>\n·每日可給聯盟成員贈送物品<color=#7FB05E>7次</color>\n·每日可重置副本（普通、精英）關卡<color=#7FB05E>4次</color>\n·建築隊列<color=#7FB05E>5個</color>\n·建築免費加速<color=#7FB05E>14分鐘</color>\n·每日可免費刷新館舍<color=#7FB05E>60次</color>\n·雷達範圍<color=#7FB05E>30里</color>\n·體力上限<color=#7FB05E>240</color>\n·行軍令上限<color=#7FB05E>38</color>\n·每日可在祭壇祭祀<color=#7FB05E>16次</color>\n·世界行軍加速可進行<color=#7FB05E>6次</color>\n·可收藏世界座標點<color=#7FB05E>85個</color>\n·每日可購買體力類道具<color=#7FB05E>12次</color>\n·每日可購買行軍令類道具<color=#7FB05E>12次</color>\n·每日可購買資源類道具<color=#7FB05E>17次</color>\n·每日可購買銅幣類道具<color=#7FB05E>17次</color>
累计充值<color=#7FB05E>1000000黄金</color>即可享受该级特权\n【特权内容】\n·藏宝阁炼宝速度提高<color=#7FB05E>20%</color>\n·黑市收购度提高<color=#7FB05E>30%</color>\n·器械所器械升级速度提高<color=#7FB05E>50%</color>\n·技法所计策升级速度提高<color=#7FB05E>50%</color>\n·计略府计策研发速度提高<color=#7FB05E>50%</color>\n·兵营招募速度提高<color=#7FB05E>50%</color>\n·建筑升级速度提高<color=#7FB05E>50%</color>\n·每日可给联盟成员赠送物品<color=#7FB05E>8次</color>\n·每日可重置副本（普通、精英）关卡<color=#7FB05E>5次</color>\n·建筑队列<color=#7FB05E>5个</color>\n·建筑免费加速<color=#7FB05E>15分钟</color>\n·每日可免费刷新馆舍<color=#7FB05E>65次</color>\n·雷达范围<color=#7FB05E>30里</color>\n·体力上限<color=#7FB05E>250</color>\n·行军令上限<color=#7FB05E>40</color>\n·每日可在祭坛祭祀<color=#7FB05E>17次</color>\n·世界行军加速可进行<color=#7FB05E>7次</color>\n·可收藏世界坐标点<color=#7FB05E>90个</color>\n·每日可购买体力类道具<color=#7FB05E>13次</color>\n·每日可购买行军令类道具<color=#7FB05E>13次</color>\n·每日可购买资源类道具<color=#7FB05E>18次</color>\n·每日可购买铜币类道具<color=#7FB05E>18次</color>	累計儲值<color=#7FB05E>1000000黃金</color>即可享受該級特權\n【特權內容】\n·藏寶閣煉寶速度提高<color=#7FB05E>20%</color>\n·黑市收購度提高<color=#7FB05E>30%</color>\n·器械所器械升級速度提高<color=#7FB05E>50%</color>\n·技法所計策升級速度提高<color=#7FB05E>50%</color>\n·計略府計策研發速度提高<color=#7FB05E>50%</color>\n·兵營招募速度提高<color=#7FB05E>50%</color>\n·建築升級速度提高<color=#7FB05E>50%</color>\n·每日可給聯盟成員贈送物品<color=#7FB05E>8次</color>\n·每日可重置副本（普通、精英）關卡<color=#7FB05E>5次</color>\n·建築隊列<color=#7FB05E>5個</color>\n·建築免費加速<color=#7FB05E>15分鐘</color>\n·每日可免費刷新館舍<color=#7FB05E>65次</color>\n·雷達範圍<color=#7FB05E>30里</color>\n·體力上限<color=#7FB05E>250</color>\n·行軍令上限<color=#7FB05E>40</color>\n·每日可在祭壇祭祀<color=#7FB05E>17次</color>\n·世界行軍加速可進行<color=#7FB05E>7次</color>\n·可收藏世界座標點<color=#7FB05E>90個</color>\n·每日可購買體力類道具<color=#7FB05E>13次</color>\n·每日可購買行軍令類道具<color=#7FB05E>13次</color>\n·每日可購買資源類道具<color=#7FB05E>18次</color>\n·每日可購買銅幣類道具<color=#7FB05E>18次</color>
未成年人消费限制说明	未成年人消費限制說明
距离%s季结束:%s	距離%s季結束:%s
距离%s来临:%s	距離%s來臨:%s
昼	晝
夜	夜
附近	附近
内奸	內奸
防守中	防守中
攻击中	攻擊中
占领中	佔領中
没有多余的同类官职可以查看	沒有多餘的同類官職可以查看
是否确定要改定该玩家为本国间谍？	是否確定要改定該玩家為本國間諜？
是否确定要移除该间谍？\n取消间谍也会消耗一次标记次数。	是否確定要移除該間諜？\n取消間諜也會消耗一次標記次數。
您当前没有权限指定间谍！	您當前沒有許可權指定間諜！
您当前没有权限查找间谍！	您當前沒有許可權查找間諜！
请先输入玩家名称！	請先輸入玩家名稱！
未查找相关玩家，请重新输入！	未查找相關玩家，請重新輸入！
当前剩余操作次数不足！	當前剩餘操作次數不足！
内奸数量已达到上限！	內奸數量已達到上限！
指定内奸成功！	指定內奸成功！
移除内奸成功！	移除內奸成功！
%s胜	%s勝
暂无信息	暫無資訊
全国铜币增产%s%%	全國銅幣增產%s%%
暂未占领	暫未佔領
*击败资源点守军，可采集大量资源\n建设郡城，发展军备	*擊敗資源點守軍，可採集大量資源\n建設郡城，發展軍備
战绩信息每周日0点刷新	戰績資訊每週日0點刷新
"小地图国势弹窗官职帮助信息显示，语言包里配置\""PowerCt_Info_Tip_11\""字段"	"小地圖國勢彈窗官職説明資訊顯示，語言包裡配置\""PowerCt_Info_Tip_11\""欄位"
设置	設置
系统设置	系統設置
其他设置	其他設置
游戏设置	遊戲設置
隐私设置	隱私設置
系统隐私权限查看	系統隱私許可權查看
游戏客服	遊戲客服
返回登录	返回登錄
城池警戒范围：	城池警戒範圍：
军旗范围：	軍旗範圍：
显示己方	顯示己方
显示全部	顯示全部
<url=http://game.qq.com/privacy_en.shtml>隐私保护指引</url>	<url=http://game.qq.com/privacy_en.shtml>隱私保護指引</url>
<url=https://privacy.qq.com>隐私保护指引</url>	<url=https://privacy.qq.com>隱私保護指引</url>
<url=http://game.qq.com/contract_en.shtml>腾讯游戏用户协议</url>	<url=http://game.qq.com/contract_en.shtml>騰訊遊戲使用者協定</url>
<url=http://game.qq.com/contract.shtml>腾讯游戏用户协议</url>	<url=http://game.qq.com/contract.shtml>騰訊遊戲使用者協定</url>
<url=https://game.qq.com/privacy_guide_children.shtml>儿童隐私保护指引</url>	<url=https://game.qq.com/privacy_guide_children.shtml>兒童隱私保護指引</url>
地块	地塊
爵位信息展示	爵位資訊展示
画质修改成功。\n<color=#ff4949>(选择确定后重启游戏生效)</color>	畫質修改成功。\n<color=#ff4949>(選擇確定後重啟遊戲生效)</color>
选择较高档位画质可能出现<color=#ff4949>发热、闪退</color>等问题。\n<color=#ff4949>(选择确定后重启游戏生效)</color>	選擇較高檔位畫質可能出現<color=#ff4949>發熱、閃退</color>等問題。\n<color=#ff4949>(選擇確定後重啟遊戲生效)</color>
建筑/科技升级完毕通知	建築/科技升級完畢通知
城内各项资源满仓通知	城內各項資源滿倉通知
免费购买通知	免費購買通知
士兵完成招募通知	士兵完成招募通知
主城被攻击通知	主城被攻擊通知
土地被攻击通知	土地被攻擊通知
联盟城池被攻击通知	聯盟城池被攻擊通知
部队返回通知	部隊返回通知
乱军来袭通知	亂軍來襲通知
主公还没有开启推送权限，是否前往开启	主公還沒有開啟推送許可權，是否前往開啟
%s部队已返回%s！	%s部隊已返回%s！
按炼宝等级排序	按煉寶等級排序
当前没有可选择的宝物	當前沒有可選擇的寶物
最多只能选择%s件装备！	最多只能選擇%s件裝備！
无%s品质的闲置星魂，请手动选择！	無%s品質的閒置星魂，請手動選擇！
宝物为初始状态，无法重置！	寶物為初始狀態，無法重置！
选择装备	選擇裝備
选择宝物	選擇寶物
 选择星魂	 選擇星魂
选择道具	選擇道具
自动选择蓝色及以下品质的装备	自動選擇藍色及以下品質的裝備
自动选择紫色及以下品质的宝物	自動選擇紫色及以下品質的寶物
没有满足自动选择的道具，请手动添加	沒有滿足自動選擇的道具，請手動添加
无紫色品质及以下的武将星魂，请手动选择！	無紫色品質及以下的武將星魂，請手動選擇！
最多只能选择%s件武将星魂！	最多只能選擇%s件武將星魂！
无蓝色品质及以下的闲置武将，请手动选择！	無藍色品質及以下的閒置武將，請手動選擇！
最多只能选择%s名武将！	最多只能選擇%s名武將！
持之以恒	持之以恆
全副披挂	全副披掛
琼楼玉宇	瓊樓玉宇
扫荡群魔	掃蕩群魔
研技究法	研技究法
资源采集	資源採集
脱颖而出	脫穎而出
谋臣猛将	謀臣猛將
攻城略地	攻城掠地
广结英豪	廣結英豪
运筹帷幄	運籌帷幄
能工巧匠	能工巧匠
精锐之师	精銳之師
多多益善	多多益善
折扣抢购	折扣搶購
坚持不懈	堅持不懈
登堂入室	登堂入室
策勋拜将	策勳拜將
荡寇逐匪	蕩寇逐匪
神兵利器	神兵利器
将星冉冉	將星冉冉
周公吐哺	周公吐哺
晋爵封侯	晉爵封侯
天工开物	天工開物
固若金汤	固若金湯
鲁班再世	魯班再世
所向披靡	所向披靡
活动未开始	活動未開始
活动已结束	活動已結束
未开始	未開始
活动倒计时：	活動倒計時：
领奖剩余时间：	領獎剩餘時間：
已获积分：	已獲積分：
<color=#F8D4A0>当前已获得</color><color=#8CD45C>%s</color><color=#F8D4A0>个宝箱</color>	<color=#F8D4A0>當前已獲得</color><color=#8CD45C>%s</color><color=#F8D4A0>個寶箱</color>
已获宝箱：	已獲寶箱：
还差%s分可领取下一个宝箱	還差%s分可領取下一個寶箱
点击领取宝箱奖励	點擊領取寶箱獎勵
所有宝箱领取完毕	所有寶箱領取完畢
完成任意七日狂欢任务获得1积分	完成任意七日狂歡任務獲得1積分
奖励展示	獎勵展示
达标奖励	達標獎勵
剩余时间 <color=#D5D1C6>%s</color>	剩餘時間 <color=#D5D1C6>%s</color>
开启倒计时 <color=#7fb05e>%s</color>	開啟倒計時 <color=#7fb05e>%s</color>
主公等级	主公等級
单队最高战力	單隊最高戰力
%s等级	%s等級
活动未开启！	活動未開啟！
主公的排名暂未进入排行榜，请再接再厉！	主公的排名暫未進入排行榜，請再接再厲！
<color=#FA4E4E>%s即将受到攻击！</color>	<color=#FA4E4E>%s即將受到攻擊！</color>
<color=#FA4E4E>正在采集的%s即将受到攻击</color>	<color=#FA4E4E>正在採集的%s即將受到攻擊</color>
<color=#B3F770>援军即将抵达%s！</color>	<color=#B3F770>援軍即將抵達%s！</color>
<color=#FA4E4E>正在协防的%s即将受到攻击!</color>	<color=#FA4E4E>正在協防的%s即將受到攻擊!</color>
<color=#d1dadd>进攻方</color>   %s	<color=#d1dadd>進攻方</color>   %s
<color=#d1dadd>来援友军</color>  %s	<color=#d1dadd>來援友軍</color>  %s
辎重营(<color=#d5d1c6>%s</color>)	輜重營(<color=#d5d1c6>%s</color>)
正在采集的%s级%s<color=#5ADD53FF>%s</color>即将受到攻击！	正在採集的%s級%s<color=#5ADD53FF>%s</color>即將受到攻擊！
正在驻扎的行营即将受到攻击！	正在駐紮的行營即將受到攻擊！
<color=#B3F770>哥来帮你啦！</color>	<color=#B3F770>哥來幫你啦！</color>
购买并使用	購買並使用
是否花费%s%s，购买并使用1个%s\n	是否花費%s%s，購買並使用1個%s\n
使部队行军速度增加<color=#B3F770>100%</color>	使部隊行軍速度增加<color=#B3F770>100%</color>
立即撤回部队	立即撤回部隊
充值成功！	儲值成功！
充值失败！	儲值失敗！
账号不存在！	帳號不存在！
充值金额错误！	儲值金額錯誤！
订单号错误！	訂單號錯誤！
订单重复支付！	訂單重複支付！
领取成功！	領取成功！
充值请求已提交，请耐心等候充值到账，切勿重复操作；若超过2小时未到账，请联系客服。	儲值請求已提交，請耐心等候儲值到帳，切勿重複操作；若超過2小時未到帳，請聯繫客服。
"充值成功,请继续购买!"	"儲值成功,請繼續購買!"
购买成功	購買成功
购买失败	購買失敗
已领取今日奖励	已領取今日獎勵
充值福利	儲值福利
当前充值：%s/%s	當前儲值：%s/%s
累计充值金额不足	累計儲值金額不足
配置错误.	配置錯誤.
当前已充值：%s/%s	當前已儲值：%s/%s
立得%s黄金，每天送%s黄金，持续%s天	立得%s黃金，每天送%s黃金，持續%s天
立得%s黄金，每天送%s黄金，永久有效	立得%s黃金，每天送%s黃金，永久有效
%s生效中，每天送%s黄金，剩余%s天	%s生效中，每天送%s黃金，剩餘%s天
%s生效中，每天送%s黄金，永久有效	%s生效中，每天送%s黃金，永久有效
%s元	%s元
￥%s	￥%s
原价￥%s	原價￥%s
现价￥%s	現價￥%s
<color=#%s>索取</color>	<color=#%s>索取</color>
首充送	首儲送
%s黄金	%s黃金
"再充值%s黄金,即可成为VIP%s"	"再儲值%s黃金,即可成為VIP%s"
立刻送%s黄金	立刻送%s黃金
每天送%s黄金(%s天)	每天送%s黃金(%s天)
剩余 %s天	剩餘 %s天
Q点：%s	Q點：%s
Q点:%s	Q點:%s
Q点	Q點
Q点不足，请前往充值	Q點不足，請前往儲值
充值任意金额\n即送橙色大乔	儲值任意金額\n即送橙色大喬
累积充值98元\n即送橙色赵云	累積儲值98元\n即送橙色趙雲
累计充值300元\n即送五星橙卡刘备	累計儲值300元\n即送五星橙卡劉備
科技	科技
繁荣度当前值	繁榮度當前值
繁荣度最大值	繁榮度最大值
爵位	爵位
季节	季節
VIP	VIP
联盟科技科技	聯盟科技科技
联盟城池	聯盟城池
势力城池	勢力城池
Buff	Buff
活动Buff	活動Buff
内政	內政
城池科技	城池科技
名将录	名將錄
繁荣度Debuff	繁榮度Debuff
皮肤	外觀
白天黑夜buff	白天黑夜buff
条件不满足	條件不滿足
需要前置科技%s级	需要前置科技%s級
*研究本层科技需要消耗技术点达到%s点	*研究本層科技需要消耗技術點達到%s點
累计投入科技点%s	累計投入科技點%s
市场	市場
农田	農田
伐木场	伐木場
冶炼厂	冶煉廠
采石场	採石場
铸币比例 %s:%s	鑄幣比例 %s:%s
开始铸币…	開始鑄幣…
收取成功！	收取成功！
<color=#c1b28e>消耗时间</color> <color=#d5d1c6>%s</color>	<color=#c1b28e>消耗時間</color> <color=#d5d1c6>%s</color>
确认取消铸币吗？\n取消后仅返还一半的铸币资源消耗	確認取消鑄幣嗎？\n取消後僅返還一半的鑄幣資源消耗
铸币完成，请前往铸币所领取！	鑄幣完成，請前往鑄幣所領取！
点击任意处关闭	點擊任意處關閉
点击任意位置继续	點擊任意位置繼續
点击任意位置关闭	點擊任意位置關閉
点击空白处关闭	點擊空白處關閉
点击空白区域关闭	點擊空白區域關閉
可用	可用
未解锁	未解鎖
  驻扎中	  駐紮中
(未侦察)	(未偵察)
消耗%s  %s	消耗%s  %s
副盟主	副盟主
执法官	執法官
指挥官	指揮官
外交官	外交官
结盟管理	結盟管理
当前盟友	當前盟友
接受邀请	接受邀請
发起结盟	發起結盟
"当前没有盟友,可发起结盟或接受结盟邀请"	"當前沒有盟友,可發起結盟或接受結盟邀請"
"解除结盟关系后需要等待一定时间才能再次结盟,请谨慎选择盟友"	"解除結盟關係後需要等待一定時間才能再次結盟,請謹慎選擇盟友"
解除盟友关系	解除盟友關係
"倒计时期间,不可发起结盟或接受结盟邀请"	"倒計時期間,不可發起結盟或接受結盟邀請"
请输入邀请加入的联盟名字	請輸入邀請加入的聯盟名字
下次可结盟时间:	下次可結盟時間:
忽略	忽略
名称	名稱
无盟友	無盟友
盟友	盟友
结盟	結盟
结盟邀请已经发送	結盟邀請已經發送
"目标联盟已有盟友,无法邀请"	"目標聯盟已有盟友,無法邀請"
请确认是否和%s联盟结成同盟关系	請確認是否和%s聯盟結成同盟關係
目标联盟暂时不能结盟	目標聯盟暫時不能結盟
"1.同势力的联盟可以结盟\n2.每个联盟只能有一个盟友\n3.结盟之后可以相互协防个人城市\n4.盟友之间无法相互攻击\n5.解除结盟后,结盟功能进入冷却时间"	"1.同勢力的聯盟可以結盟\n2.每個聯盟只能有一個盟友\n3.結盟之後可以相互協防個人城市\n4.盟友之間無法相互攻擊\n5.解除結盟後,結盟功能進入冷卻時間"
结盟说明	結盟說明
请确认是否结束和%s联盟的同盟关系	請確認是否結束和%s聯盟的同盟關係
"是盟友,未开战"	"是盟友,未開戰"
盟主禅位倒计时	盟主禪位倒計時
未知	未知
人员调动	人員調動
城池争夺	城池爭奪
城池捐献	城池捐獻
今日获得贡献	今日獲得貢獻
今日联盟帮助	今日聯盟幫助
今日联盟任务	今日聯盟任務
今日联盟捐献	今日聯盟捐獻
今日获得功勋	今日獲得功勛
显示科技图标	顯示科技圖示
显示科技描述	顯示科技描述
繁荣度排序	繁榮度排序
在线排序	線上排序
贡献排序	貢獻排序
歃血成知己，共图天下事	歃血成知己，共圖天下事
广邀豪杰，共图大计	廣邀豪傑，共圖大計
联盟全体成员加成	聯盟全體成員加成
暂未占领城池	暫未佔領城池
倒计时	倒計時
联盟等级加成：百分比加成基数为建筑产量和领地加成之和。\n联盟城池加成：联盟占领的城池提供的对应加成，其中联盟人数加成有上限，上限为70人。	聯盟等級加成：百分比加成基數為建築產量和領地加成之和。\n聯盟城池加成：聯盟佔領的城池提供的對應加成，其中聯盟人數加成有上限，上限為70人。
暂无%s日志	暫無%s日誌
附庸邀请列表	附庸邀請列表
暂无国家发出附庸邀请	暫無國家發出附庸邀請
免战准备	免戰準備
城池排序	城池排序
没有修改颜色的权限	沒有修改顏色的許可權
加入联盟	加入聯盟
领取奖励	領取獎勵
暂无可加入联盟	暫無可加入聯盟
部队带兵上限：	部隊帶兵上限：
武将攻击：	武將攻擊：
武将防御：	武將防禦：
已任命	已任命
使用成功	使用成功
道具购买成功!使用失败!道具已存入背包!	道具購買成功!使用失敗!道具已存入背包!
首胜必掉	首勝必掉
"士兵招募,伤兵恢复"	"士兵招募,傷兵恢復"
"兵招募完成,伤兵恢复完成"	"兵招募完成,傷兵恢復完成"
守军	守軍
经验:%s/%s\n	經驗:%s/%s\n
vip经验:%s/%s\n	vip經驗:%s/%s\n
铜币:%s/%s\n	銅幣:%s/%s\n
黄金:%s/%s\n	黃金:%s/%s\n
木材:%s/%s\n	木材:%s/%s\n
粮食:%s/%s\n	糧食:%s/%s\n
石材:%s/%s\n	石材:%s/%s\n
铁锭:%s/%s\n	鐵錠:%s/%s\n
个人功勋:%s/%s\n	個人功勛:%s/%s\n
将魂:%s/%s\n	將魂:%s/%s\n
联盟货币(名望):%s/%s\n	聯盟貨幣(名望):%s/%s\n
宝物经验:%s/%s\n	寶物經驗:%s/%s\n
才略点:%s/%s\n	才略點:%s/%s\n
行军令:%s/%s\n	行軍令:%s/%s\n
包子:%s/%s\n	包子:%s/%s\n
繁荣度:%s/%s\n	繁榮度:%s/%s\n
预备兵数据不一致%s/%s	預備兵資料不一致%s/%s
伤兵数据不一致%s/%s	傷兵資料不一致%s/%s
武将占用兵数据不一致%s/%s	武將佔用兵資料不一致%s/%s
安全木材:%s/%s\n	安全木材:%s/%s\n
安全粮食:%s/%s\n	安全糧食:%s/%s\n
安全石材:%s/%s\n	安全石材:%s/%s\n
安全铁锭:%s/%s\n	安全鐵錠:%s/%s\n
兵器坊兵器总数不一致%s/%s	兵器坊兵器總數不一致%s/%s
洛阳碎银:%s/%s\n	洛陽碎銀:%s/%s\n
跨服粮草:%s/%s\n	跨服糧草:%s/%s\n
跨服木头:%s/%s\n	跨服木頭:%s/%s\n
跨服矿石:%s/%s\n	跨服礦石:%s/%s\n
跨服铁:%s/%s\n	跨服鐵:%s/%s\n
荣誉点:%s/%s\n	榮譽點:%s/%s\n
个人势力值:%s/%s\n	個人勢力值:%s/%s\n
竞技币:%s/%s\n	競技幣:%s/%s\n
元票:%s/%s\n	元票:%s/%s\n
